ST_NAME,AC_NAME,PARTYABBRE,year
Punjab,Sujanpur,Bharatiya Janta Party,2012
Punjab,Bhoa,Bharatiya Janta Party,2012
Punjab,Pathankot,Bharatiya Janta Party,2012
Punjab,Gurdaspur,Shiromani Akali Dal,2012
Punjab,Dina Nagar,Indian National Congress,2012
Punjab,Qadian,Indian National Congress,2012
Punjab,Batala,Indian National Congress,2012
Punjab,Sri Hargobindpur,Shiromani Akali Dal,2012
Punjab,Fatehgarh Churian,Indian National Congress,2012
Punjab,Dera Baba  Nanak,Indian National Congress,2012
Punjab,Ajnala,Shiromani Akali Dal,2012
Punjab,Raja Sansi,Indian National Congress,2012
Punjab,Majitha,Shiromani Akali Dal,2012
Punjab,Jandiala,Shiromani Akali Dal,2012
Punjab,Amritsar North,Bharatiya Janta Party,2012
Punjab,Amritsar West,Indian National Congress,2012
Punjab,Amritsar Central,Indian National Congress,2012
Punjab,Amritsar East,Bharatiya Janta Party,2012
Punjab,Amritsar South,Shiromani Akali Dal,2012
Punjab,Attari,Shiromani Akali Dal,2012
Punjab,Tarn Taran,Shiromani Akali Dal,2012
Punjab,Khem Karan,Shiromani Akali Dal,2012
Punjab,Patti,Shiromani Akali Dal,2012
Punjab,Khadoor Sahib,Indian National Congress,2012
Punjab,Baba Bakala,Shiromani Akali Dal,2012
Punjab,Bholath,Shiromani Akali Dal,2012
Punjab,Kapurthala,Indian National Congress,2012
Punjab,Sultanpur Lodhi,Indian National Congress,2012
Punjab,Phagwara,Bharatiya Janta Party,2012
Punjab,Phillaur,Shiromani Akali Dal,2012
Punjab,Nakodar,Shiromani Akali Dal,2012
Punjab,Shahkot,Shiromani Akali Dal,2012
Punjab,Kartarpur,Shiromani Akali Dal,2012
Punjab,Jalandhar West,Bharatiya Janta Party,2012
Punjab,Jalandhar Central,Bharatiya Janta Party,2012
Punjab,Jalandhar North,Bharatiya Janta Party,2012
Punjab,Jalandhar Cantt.,Shiromani Akali Dal,2012
Punjab,Adampur,Shiromani Akali Dal,2012
Punjab,Mukerian,Independent,2012
Punjab,Dasuya,Bharatiya Janta Party,2012
Punjab,Urmar,Indian National Congress,2012
Punjab,Sham Chaurasi,Shiromani Akali Dal,2012
Punjab,Hoshiarpur,Indian National Congress,2012
Punjab,Chabbewal,Shiromani Akali Dal,2012
Punjab,Garhshankar,Shiromani Akali Dal,2012
Punjab,Banga,Indian National Congress,2012
Punjab,Nawan Shahr,Indian National Congress,2012
Punjab,Balachaur,Shiromani Akali Dal,2012
Punjab,Anandpur Sahib,Bharatiya Janta Party,2012
Punjab,Rupnagar,Shiromani Akali Dal,2012
Punjab,Chamkaur Sahib,Indian National Congress,2012
Punjab,Kharar,Indian National Congress,2012
Punjab,S.A.S. Nagar,Indian National Congress,2012
Punjab,Bassi Pathana,Shiromani Akali Dal,2012
Punjab,Fatehgarh Sahib,Indian National Congress,2012
Punjab,Amloh,Indian National Congress,2012
Punjab,Khanna,Indian National Congress,2012
Punjab,Samrala,Indian National Congress,2012
Punjab,Sahnewal,Shiromani Akali Dal,2012
Punjab,Ludhiana East,Shiromani Akali Dal,2012
Punjab,Ludhiana South,Independent,2012
Punjab,Atam Nagar,Independent,2012
Punjab,Ludhiana Central,Indian National Congress,2012
Punjab,Ludhiana West,Indian National Congress,2012
Punjab,Ludhiana North,Indian National Congress,2012
Punjab,Gill,Shiromani Akali Dal,2012
Punjab,Payal,Shiromani Akali Dal,2012
Punjab,Dakha,Shiromani Akali Dal,2012
Punjab,Raikot,Indian National Congress,2012
Punjab,Jagraon,Shiromani Akali Dal,2012
Punjab,Nihal Singh Wala  ,Shiromani Akali Dal,2012
Punjab,Bhagha Purana,Shiromani Akali Dal,2012
Punjab,Moga,Indian National Congress,2012
Punjab,Dharamkot,Shiromani Akali Dal,2012
Punjab,Zira,Shiromani Akali Dal,2012
Punjab,Firozpur City,Indian National Congress,2012
Punjab,Firozpur Rural,Shiromani Akali Dal,2012
Punjab,Guru Har Sahai,Indian National Congress,2012
Punjab,Jalalabad,Shiromani Akali Dal,2012
Punjab,Fazilka,Bharatiya Janta Party,2012
Punjab,Abohar,Indian National Congress,2012
Punjab,Balluana,Shiromani Akali Dal,2012
Punjab,Lambi,Shiromani Akali Dal,2012
Punjab,Gidderbaha,Indian National Congress,2012
Punjab,Malout,Shiromani Akali Dal,2012
Punjab,Muktsar,Indian National Congress,2012
Punjab,Faridkot,Shiromani Akali Dal,2012
Punjab,Kotkapura,Shiromani Akali Dal,2012
Punjab,Jaitu,Indian National Congress,2012
Punjab,Rampura Phul,Shiromani Akali Dal,2012
Punjab,Bhucho Mandi,Indian National Congress,2012
Punjab,Bathinda Urban,Shiromani Akali Dal,2012
Punjab,Bathinda Rural,Shiromani Akali Dal,2012
Punjab,Talwandi Sabo,Indian National Congress,2012
Punjab,Maur,Shiromani Akali Dal,2012
Punjab,Mansa,Shiromani Akali Dal,2012
Punjab,Sardulgarh,Indian National Congress,2012
Punjab,Budhlada,Shiromani Akali Dal,2012
Punjab,Lehra,Indian National Congress,2012
Punjab,Dirba,Shiromani Akali Dal,2012
Punjab,Sunam,Shiromani Akali Dal,2012
